#Beijing
r2---sn-ni57dn76.gvt1.com	203.208.32.20
r3---sn-ni57dn76.gvt1.com	203.208.32.21
r4---sn-ni57dn76.gvt1.com	203.208.32.22
r5---sn-ni57dn76.gvt1.com	203.208.32.23
r6---sn-ni57dn76.gvt1.com	203.208.32.24
r7---sn-ni57dn76.gvt1.com	203.208.32.25
r8---sn-ni57dn76.gvt1.com	203.208.32.26
r9---sn-ni57dn76.gvt1.com	203.208.32.27
r10---sn-ni57dn76.gvt1.com	203.208.32.28
r11---sn-ni57dn76.gvt1.com	203.208.32.29
r12---sn-ni57dn76.gvt1.com	203.208.32.30
r13---sn-ni57dn76.gvt1.com	203.208.32.31
r14---sn-ni57dn76.gvt1.com	203.208.32.32
r15---sn-ni57dn76.gvt1.com	203.208.32.33
r16---sn-ni57dn76.gvt1.com	203.208.32.34
r17---sn-ni57dn76.gvt1.com	203.208.32.35
r18---sn-ni57dn76.gvt1.com	203.208.32.36

r1---sn-ni57dn7d.gvt1.com	203.208.33.144
r2---sn-ni57dn7d.gvt1.com	203.208.33.145
r3---sn-ni57dn7d.gvt1.com	203.208.33.146
r4---sn-ni57dn7d.gvt1.com	203.208.33.147
r5---sn-ni57dn7d.gvt1.com	203.208.33.148
r6---sn-ni57dn7d.gvt1.com	203.208.33.149
r7---sn-ni57dn7d.gvt1.com	203.208.33.150
r8---sn-ni57dn7d.gvt1.com	203.208.33.151

r1---sn-ni57rn7e.gvt1.com	203.208.32.83
r2---sn-ni57rn7e.gvt1.com	203.208.32.84
r3---sn-ni57rn7e.gvt1.com	203.208.32.85
r4---sn-ni57rn7e.gvt1.com	203.208.32.86
r5---sn-ni57rn7e.gvt1.com	203.208.32.87
r6---sn-ni57rn7e.gvt1.com	203.208.32.88
r7---sn-ni57rn7e.gvt1.com	203.208.32.89
r8---sn-ni57rn7e.gvt1.com	203.208.32.90
r9---sn-ni57rn7e.gvt1.com	203.208.32.91
r10---sn-ni57rn7e.gvt1.com	203.208.32.92
r11---sn-ni57rn7e.gvt1.com	203.208.32.93
r12---sn-ni57rn7e.gvt1.com	203.208.32.94
r13---sn-ni57rn7e.gvt1.com	203.208.32.95
r14---sn-ni57rn7e.gvt1.com	203.208.32.96
r15---sn-ni57rn7e.gvt1.com	203.208.32.97
r16---sn-ni57rn7e.gvt1.com	203.208.32.98
r17---sn-ni57rn7e.gvt1.com	203.208.32.99
r18---sn-ni57rn7e.gvt1.com	203.208.32.100

r1---sn-ni57rn7s.gvt1.com	203.208.57.19
r2---sn-ni57rn7s.gvt1.com	203.208.57.20
r3---sn-ni57rn7s.gvt1.com	203.208.57.21
r4---sn-ni57rn7s.gvt1.com	203.208.57.22
r5---sn-ni57rn7s.gvt1.com	203.208.57.23
r6---sn-ni57rn7s.gvt1.com	203.208.57.24
r7---sn-ni57rn7s.gvt1.com	203.208.57.25
r8---sn-ni57rn7s.gvt1.com	203.208.57.26
r9---sn-ni57rn7s.gvt1.com	203.208.57.27
r10---sn-ni57rn7s.gvt1.com	203.208.57.28
r11---sn-ni57rn7s.gvt1.com	203.208.57.29
r12---sn-ni57rn7s.gvt1.com	203.208.57.30
r13---sn-ni57rn7s.gvt1.com	203.208.57.31
r14---sn-ni57rn7s.gvt1.com	203.208.57.32
r15---sn-ni57rn7s.gvt1.com	203.208.57.33
r16---sn-ni57rn7s.gvt1.com	203.208.57.34
r17---sn-ni57rn7s.gvt1.com	203.208.57.35
r18---sn-ni57rn7s.gvt1.com	203.208.57.36

r1---sn-ni57rn7z.gvt1.com	203.208.57.83
r2---sn-ni57rn7z.gvt1.com	203.208.57.84
r3---sn-ni57rn7z.gvt1.com	203.208.57.85
r4---sn-ni57rn7z.gvt1.com	203.208.57.86
r5---sn-ni57rn7z.gvt1.com	203.208.57.87
r6---sn-ni57rn7z.gvt1.com	203.208.57.88
r7---sn-ni57rn7z.gvt1.com	203.208.57.89
r8---sn-ni57rn7z.gvt1.com	203.208.57.90
r9---sn-ni57rn7z.gvt1.com	203.208.57.91
r10---sn-ni57rn7z.gvt1.com	203.208.57.92
r11---sn-ni57rn7z.gvt1.com	203.208.57.93
r12---sn-ni57rn7z.gvt1.com	203.208.57.94
r13---sn-ni57rn7z.gvt1.com	203.208.57.95
r14---sn-ni57rn7z.gvt1.com	203.208.57.96
r15---sn-ni57rn7z.gvt1.com	203.208.57.97
r16---sn-ni57rn7z.gvt1.com	203.208.57.98
r17---sn-ni57rn7z.gvt1.com	203.208.57.99
r18---sn-ni57rn7z.gvt1.com	203.208.57.100

r1---sn-ni57rn76.gvt1.com	203.208.33.80
r2---sn-ni57rn76.gvt1.com	203.208.33.81
r3---sn-ni57rn76.gvt1.com	203.208.33.82
r4---sn-ni57rn76.gvt1.com	203.208.33.83
r5---sn-ni57rn76.gvt1.com	203.208.33.84
r6---sn-ni57rn76.gvt1.com	203.208.33.85
r7---sn-ni57rn76.gvt1.com	203.208.33.86
r8---sn-ni57rn76.gvt1.com	203.208.33.87
